Autor(es);Año;Título;Revista;Volumen;Páginas;DOI;Citado_Por
Arvindh, B., and S. A. Irani;1994;Cell Formation: The Need for an Integrated Solution of the Subproblems;International Journal of Production Research;32 (5);1197–1218;10.1080/00207549408956995;4
Atashpaz-Gargari, E., F. Hashemzadeh, R. Rajabioun, and C. Lucas;2008;Colonial Competitive Algorithm, a Novel Approach for PID Controller Design in MIMO Distillation Column Process;International Journal of Intelligent Computing and Cybernetics;1 (3);337–355;10.1108/17563780810893446;4
Atashpaz-Gargari, E., and C. Lucas;2007;Imperialist Competitive Algorithm: An Algorithm for Optimization Inspired by Imperialistic Competition;IEEE Congress on Evolutionary Computation;N/A;4661–4667;N/A;4
Ballakur, A.;1985;An investigation of part family/machine group formation in designing a cellular manufacturing system;Ph.D. Thesis, University of Wisconsin, Madison, WI;N/A;N/A;N/A;4
Behnamian, J., and M. A. Zandieh;2011;A Discrete Colonial Competitive Algorithm for Hybrid Flowshop Scheduling to Minimize Earliness and Quadratic Tardiness Penalties;Expert Systems with Applications;38;14490–14498;10.1016/j.eswa.2011.04.241;4
Burbidge, J. L.;1996;The First Step in Planning Group Technology;International Journal of Production Economics;43;261–266;10.1016/0925-5273(96)00027-8;4
Chung, S. H., and C. Y. Fang;1993;Using the Virtual Cell Concept for Short-Term Production Planning for Flexible Job Shop Manufacturing Systems;International Journal of Computer Integrated Manufacturing;6 (4);237–251;10.1080/09511929308944575;4
Das, K.;2008;A Comparative Study of Exponential Distribution Vs. Weibull Distribution in Machine Reliability Analysis in A CMS Design;European Journal of Operational Research;54;12–33;N/A;4
Das, K., R. S. Lashgari, and S. Sengupta;2007;Machine Reliability and Preventive Maintenance Planning for Cellular Manufacturing Systems;European Journal of Operational Research;183;162–180;10.1016/j.ejor.2006.09.079;4
Das, K., R. S. Lashgari, and S. Sengupta;2007;Reliability Consideration in the Design and Analysis of Cellular Manufacturing Systems;International Journal of Production Economics;105;243–262;10.1016/j.ijpe.2006.04.015;4
Deb, K., A. Pratap, S. Agarwal, and T. Meyarivan;2002;A Fast Elitist Multi-Objective Genetic Algorithm: NSGA-II;IEEE Transactions on Evolutionary Computation;6 (2);182–197;10.1109/4235.996017;4
Diallo, M., H. Perreval, and A. Quillot;2001;Manufacturing Cells Design with Flexible Routing Capability in Presence of Unreliable Machines;International Journal of Production Economics;74 (1–3);175–182;10.1016/S0925-5273(01)00124-4;4
Ebeling, C. E.;1997;An Introduction to Reliability and Maintainability Engineering;New York: McGraw-Hill;N/A;N/A;N/A;4
Irani, S. A., T. M. Cavalier, and P. H. Cohen;1993;Virtual Manufacturing Cells: Exploiting Layout Design and Intercell Flows for the Machine Sharing Problem;International Journal of Production Research;4 (31);9791–9810;N/A;4
Ireson, W. G., C. F. Coombs Jr., and R. Y. Moss;1996;Hand Book of Reliability Engineering and Management;New York: The Mac Graw- Hill;N/A;N/A;N/A;4
Jabal Ameli, M. S., J. Arkat, and F. Barzinpour;2008;Modelling the Effects of Machine Breakdowns in the Generalized Cell Formation Problem;The International Journal of Advanced Manufacturing Technology;39;838–850;10.1007/s00170-007-1269-4;4
Kia, R., N. Javadian, M. Mahdi Paydar, and M. Saidi-Mehrabad;2013;Simulated Annealing for Intra-Cell Layout Design of Dynamic Cellular Manufacturing Systems with Route Selection, Purchasing Machines and Cell Reconfiguration;Asia-Pacific Journal of Operational Research;30 (4);N/A;10.1142/S0217595913500048;4
Kia, R., F. Khaksar-Haghani, N. Javadian, and R. Tavakkoli-Moghaddam;2014;Solving a Multi-Floor Layout Design Model of a Dynamic Cellular Manufacturing System by an Efficient Genetic Algorithm;Journal of Manufacturing Systems;33;218–232;10.1016/j.jmsy.2013.12.005;4
Kia, R., F. Khaksar-Haghani, I. Mahdavi, N. Javadian, and M. Kazemi;2011;Multi-Floor Layout Design of Cellular Manufacturing Systems;International Journal of Management Science and Engineering Management;6 (5);356–365;N/A;4
King, J., and V. Nakornchai;1982;Machine-Component Group Formation in Group Technology: Review and Extension;International Journal of Production Research;20 (2);117–133;10.1080/00207548208947754;4
Kusiak, A.;1987;The Generalized Group Technology Concept;International Journal of Production Research;25 (4);561–569;10.1080/00207548708919861;4
Logendran, R., P. Ramakrishna, and C. Sriskandarajah;1994;Tabu Search-Based Heuristics for Cellular Manufacturing System in the Presence of Alternative Process Plans;International Journal of Production Research;N/A;273–297;10.1080/00207549408956933;4
Mahdavi, I., E. Teymourian, N. Tahami Baher, and V. Kayvanfar;2013;An Integrated Model for Solving Cell Formation and Cell Layout Problem Simultaneously considering New Situations;Journal of Manufacturing Systems;32 (4);655–663;10.1016/j.jmsy.2013.02.003;4
Mitrofanov, S. P.;1996;The Scientific Principles of Group Technology;Yorks: National Lending Library Translation, Boston Spa;N/A;N/A;N/A;4
Mohammadi, M., F. Jolai, and R. Tavakkoli-Moghaddam;2013;Solving a New Stochastic Multi-Mode P-Hub Covering Location Problem considering Risk by a Novel Multi-Objective Algorithm;Applied Mathematical Modelling;37;10053–10073;10.1016/j.apm.2013.05.063;4
Mousavi, S. M., R. Tavakkoli-Moghaddam, B. Vahdani, H. Hashemi, and M. J. Sanjari;2013;A New Support Vector Model-Based Imperialist Competitive Algorithm for Time Estimation in New Product Development Projects;Robotics and Computer-Integrated Manufacturing;29;157–168;10.1016/j.rcim.2012.04.006;4
Nazari-Shirkouhi, S., H. Eivazi, R. Ghodsi, K. Rezaei, and E. Atashpaz-Gagari;2010;Solving the Integrated Product Mix-Outsourcing Problem Using the Imperialist Competitive Algorithm;Expert System with Applications;37;7615–7626;10.1016/j.eswa.2010.04.081;4
Noori Darvish, S., R. Tavakkoli-Moghaddam, and N. Javadian;2012;A Multi-Objective Particle Swarm Optimization Algorithm for A Possiblistic Open Shop Problem to Minimize Weighted Mean Tardiness and Weighted Mean Completion Times;Iranian Journal of Operation Research;3 (1);61–88;N/A;4
Offodile, O. F., A. Mehrez, and J. Grznar;1994;Cellular Manufacturing: A Taxonomic Review Framework;Journal of Manufacturing Systems;13;196–220;10.1016/0278-6125(94)90005-1;4
Rajamani, D., and N. Singh;1996;Cellular Manufacturing Systems: Design, Planning and Control;London: Chapman & Hall;N/A;N/A;N/A;4
Safaei, N., R. Tavakkoli-Moghaddam, and F. Sassani;2009;A Series-Parallel Redundant Reliability System for Cellular Manufacturing Design;Proceedings of the Institution of Mechanical Engineers - Part O: J. Risk and Reliability;223;233–250;N/A;4
Sakhaii, M., R. Tavakkoli-Moghaddam, M. Bagheri, and B. Vatani;2016;A Robust Optimization Approach for an Integrated Dynamic Cellular Manufacturing System and Production Planning with Unreliable Machines;Applied Mathematical Modelling;40;169–191;10.1016/j.apm.2015.05.005;4
Savsar, M.;2000;Reliability Analysis of a Flexible Manufacturing Cell;Reliability Engineering & System Safety;67 (2);147–152;10.1016/S0951-8320(99)00056-3;4
Shirazi, H., R. Kia, N. Javadian, and R. Tavakkoli-Moghaddam;2014;An Archived Multi-Objective Simulated Annealing for a Dynamic Cellular Manufacturing System;Journal of Industrial Engineering International;10;58;10.1007/s40092-014-0058-6;4
Shiyas, C. R., and V. Madhusudanan-Pillai;2014;A Mathematical Programming Model for Manufacturing Cell Formation to Develop Multiple Configurations;Journal of Manufacturing Systems;33 (1);149–158;10.1016/j.jmsy.2013.10.002;4
Tavakkoli-Moghaddam, R., N. Javadian, B. Javadi, and N. Safaei;2007;Design of a Facility Layout Problem in Cellular Manufacturing Systems with Stochastic Demands;Applied Mathematics and Computation;184;721–728;10.1016/j.amc.2006.05.172;4
Vakharia, A. J., and U. Wemmerlov;1990;Designing a Cellular Manufacturing System: A Materials Flow Approach Based on Operation Sequences;IIE Transactions;22 (1);84–97;10.1080/07408179008964161;4
Wemmerlov U, Hyer NL;1989;Cellular manufacturing in the US industry: a survey of users;Int J Prod Res;27;1511–1530;N/A;5
Dimopoulos C, Zalzala AM;2000;Recent developments in evolutionary computation for manufacturing optimization: problems, solutions, and comparisons;IEEE Trans Evol Comput;4;93–113;N/A;5
Kusiak A;1987;The generalized group technology concept;Int J Prod Res;25;561–569;N/A;5
Jabal Ameli MS, Arkat J, Barzinpour F;2008;Modelling the effects of machine breakdowns in the generalized cell formation problem;Int J Adv Manuf Technol;39;838–850;N/A;5
D’Addona D, Teti R;2011;Queuing network modelling techniques for response time enhancement in electronics assembly;Int J Comput Aided Eng Technol;3;399–413;N/A;5
Jabal Ameli MS, Arkat J;2008;Cell formation with alternative process routings and machine reliability consideration;Int J Adv Manuf Technol;35;761–768;N/A;5
Das K, Lashkari RS, Sengupta S;2007;Reliability consideration in the design and analysis of cellular manufacturing systems;Int J Prod Econ;105;243–262;N/A;5
Jabal Ameli MS, Arkat J, Sakri MS;2008;Applying metaheuristics in the generalized cell formation problem considering machine reliability;J Chin Inst Ind Eng;25;261–274;N/A;5
Chung SH, Wu TH, Chang CC;2011;An efficient tabu search algorithm to the cell formation problem with alternative routings and machine reliability considerations;Comput Ind Eng;60;7–15;N/A;5
Jouzdani J, Barzinpour F, Shafia MA, Fathian M;2014;Applying simulated annealing to a generalized cell formation problem considering alternative routings and machine reliability;Asia Pac J Oper Res;N/A;N/A;10.1142/S0217595914500213;5
Liu CG, Yin Y, Yasuda K, Lian J;2010;A heuristic algorithm for cell formation problems with consideration of multiple production factors;Int J Adv Manuf Technol;6;12011213;N/A;5
Kao Y, Lin CH;2012;A PSO-based approach to cell formation problems with alternative process routings;Int J Prod Res;50(15);40754089;N/A;5
Solimanpur M, Saeedi S, Mahdavi I;2010;Solving cell formation problem in cellular manufacturing using ant-colony-based optimization;Int J Adv Manuf Technol;50;1135–1144;N/A;5
Mohammadi M, Forghani K;2017;A hybrid method based on genetic algorithm and dynamic programming for solving a bi-objective cell formation problem considering alternative process routings and machine duplication;Appl Soft Comput;53;97–110;N/A;5
Adenso-Diaz BL, Ozano S, Racero J, Guerrero F;2001;Machine cell formation in generalized group technology;Comput Ind Eng;41;227–240;N/A;5
Yin Y, Yasuda K;2002;Manufacturing cells’ design in consideration of various production factors;Int J Prod Res;40;885–906;N/A;5
Mukattash AM, Adil MB, Tahboub KK;2002;Heuristic approaches for part assignment in cell formation;Comput Ind Eng;42;329–341;N/A;5
Jayaswal S, Adil GK;2004;Efficient algorithm for cell formation with sequence data, machine replications and alternative process routings;Int J Prod Res;42;2419–2433;N/A;5
Kim CO, Baek JG, Baek JK;2004;A two-phase heuristic algorithm for cell formation problems considering alternative part routes and machine sequences;Int J Prod Res;42(18);3911–3927;N/A;5
Hu L, Yasuda K;2006;Minimising material handling cost in cell formation with alternative processing routes by grouping genetic algorithm;Int J Prod Res;44(11);2133–2167;N/A;5
Spiliopoulos K, Sofianopoulou S;2007;Manufacturing cells design with alternative routings in generalized group technology: reducing the complexity of the solution space;Int J Prod Res;45;1355–1367;N/A;5
Sormaz DN, Rajaraman SN;2008;Problem space search algorithm for manufacturing cell formation with alternative process plans.;Int J Prod Res;46(2);345–369;N/A;5
Safaei N, Saidi-Mehrabad M, Jabal-Ameli MS;2008;A hybrid simulated annealing for solving an extended model of dynamic cellular manufacturing system.;Eur J Oper Res;185;563–592;N/A;5
Wu TH, Chung SH, Chang CC;2009;Hybrid simulated annealing algorithm with mutation operator to the cell formation problem with alternative process routings.;Expert Syst Appl;36;3652–3661;N/A;5
Cao D, Defersha FM, Chen M;2009;Grouping operations in cellular manufacturing considering alternative routings and the impact of run length on product quality.;Int J Prod Res;47(4);989–1013;N/A;5
Tavakkoli-Moghaddam R, Ranjbar-Bourani M, Amin GR, Siadat A;2012;A cell formation problem considering machine utilization and alternative process routes by Scatter search.;J Intell Manuf;23;1127–1139;N/A;5
Ozcelik F, Sarac T;2012;A genetic algorithm extended modified sub-gradient algorithm for cell formation problem with alternative routings.;Int J Prod Res;50;4025–4037;N/A;5
Khaksar-Haghani F, Kia R, Mahdavi I, Kazemi M;2013;A genetic algorithm for solving a multi-floor layout design model of a cellular manufacturing system with alternative process routings and flexible configuration.;Int J Adv Manuf Technol;66;845–865;N/A;5
Vin E, Delchambre A;2014;Generalized cell formation: iterative versus simultaneous resolution with grouping genetic algorithm.;J Intell Manuf;25;1113–1124;N/A;5
Saeidi S, Solimanpur M, Mahdavi I, Javadian N;2014;A multi-objective genetic algorithm for solving cell formation problem using a fuzzy goal programming approach.;Int J Adv Manuf Technol;70;1635–1652;N/A;5
Deep K, Singh PK;2015;Design of robust cellular manufacturing system for dynamic part population considering multiple processing routes using genetic algorithm.;J Manuf Syst;35;155–163;N/A;5
Bhide P, Bhandwale A, Kesavadas T;2005;Cell formation using multiple process plans.;J Intell Manuf;16;53–65;N/A;5
Alhourani F;2016;Cellular manufacturing system design considering machines reliability and parts alternative process routings.;Int J Prod Res;54;846–863;N/A;5
De Castro LN, Von Zuben FJ;2002;Learning and optimization using the clonal selection principle.;IEEE Trans Evol Comput;6;239–251;N/A;5
Karoum B, Elbenani B, El Imrani AA;2016;Clonal selection algorithm for the cell formation problem.;Lecture notes in electrical engineering, vol 380 (Proc. of Mediterranean Conference on Information and Communication Technologies 2015);Springer, Cham;319–326;N/A;5
Karoum B, El Khattabi N, Elbenani B, El Imrani AA;2016;An efficient artificial immune system algorithm for the cell formation problem.;J Comput Methods Sci Eng;16;733–744;N/A;5
Karoum B, Elbenani B;2017;A hybrid clonal algorithm for the cell formation problem with variant number of cells.;Prod Eng Res Devel;11;19–28;10.1007/s11740-016-0706-3;5
Moon YB, Chi SC;1992;Generalized part family formation using neural network techniques.;J Manuf Syst;11;149–159;N/A;5
Sankaran S, Kasilingam RG;1990;An integrated approach to cell formation and part routing in group technology manufacturing systems.;Eng Optim;16;235–245;N/A;5
Lee MK, Luong H, Abhary K;1997;A genetic algorithm based cell design considering alternative routing.;Comput Integr Manuf Syst;10;93–108;N/A;5
Ouk Kim C, Baek JG, Baek JK;2004;A two-phase heuristic algorithm for cell formation problems considering alternative part routes and machine sequences.;Int J Prod Res;42;3911–3927;N/A;5
Alhourani F;2013;Clustering algorithm for solving group technology problem with multiple process routings.;Comput Ind Eng;66;781–790;N/A;5
Sofianopoulou S;1999;Manufacturing cells design with alternative process plans and/or replicate machines.;Int J Prod Res;37;707–720;N/A;5
Nagi R, Harhalakis G, Proth JM;1990;Multiple routings and capacity consideration in group technology applications.;Int J Prod Res;28;1243–1257;N/A;5
Won Y, Kim S;1997;Multiple criteria clustering algorithm for solving the group technology problem with multiple process routings.;Comput Ind Eng;32;207–220;N/A;5
Hu L, Yasuda K;2006;Minimising material handling cost in cell formation with alternative processing routes by grouping genetic algorithm.;Int J Prod Res;44;2133–2167;N/A;5
Selim H, Askin R and Vakharia A;1998;Cell formation in group technology: Review, evaluation and directions for future research.;Comput. Ind. Eng.;34(1);3–20;N/A;6
Hu L and Yasuda K;2006;Minimizing material handling cost in cell formation with alternative processing routes by grouping genetic algorithm.;Int. J. Prod. Res.;44;2133–2167;N/A;6
Wemmerlov U and John D;1997;Cellular manufacturing at 46 user plants: Implementation experiences and performance improvements.;Int. J. Prod. Res.;35(1);29–49;N/A;6
Rheault M, Drolet J and Abdulnour G;1995;Physically reconfigurable virtual cells: A dynamic model for a highly dynamic environment.;Comput. Ind. Eng.;29(1–4);221–225;N/A;6
Kusiak A;1987;The generalized group technology concept.;Int. J. Prod. Res.;43;4035–4047;N/A;6
Mansuri S A, Husseini S M and Newman S T;2000;A review of the modern approaches to multi-criteria cell design.;Int. J. Prod. Res.;38;1201–1218;N/A;6
King J R;1980;Machine component grouping in production flow analysis: An approach using a rank order clustering algorithm.;Int. J. Prod. Res.;18(2);213–232;N/A;6
Singh N;1993;Design of cellular manufacturing systems: An invited review.;Eur. J. Oper. Res.;69(3);284–291;N/A;6
Kusiak A and Cheng C;1990;A branch and bound algorithm for solving the group technology problem.;Ann. Oper. Res.;26(1–4);415–431;N/A;6
Askin R G and Standridge C R;1993;Modeling and analysis of manufacturing systems.;New York: Wiley;N/A;N/A;N/A;6
Logendran R, Ramakrishna P and Srikandarajah C;1994;Tabu search-based heuristics for cellular manufacturing systems in the presence of alternative process plans.;Int. J. Prod. Res.;32(2);273–297;N/A;6
Arbib C, Lucertini M and Nicolo F;1990;Workload balance and part transfer minimization in flexible manufacturing system.;Int. J. Flexible Manuf. Syst.;3;5–25;N/A;6
Gupta T and Seifoddini H;1990;Production data based similarity coefficient for machine component grouping decision in the design of a cellular manufacturing system.;Int. J. Prod. Res.;28(7);1247–1269;N/A;6
Nagi R, Harhalakis G and Proth J;1990;Multiple routings and capacity considerations in group technology applications.;Int. J. Prod. Res.;28(12);2243–2257;N/A;6
Sankaran S and Kasilingam G;1990;An integrated approach to cell formation and part routing in group technology manufacturing systems.;Eng. Optim.;16;235–245;N/A;6
Adil G, Rajamani D and Strong D;1996;Cell formation considering alternate routings.;Int. J. Prod. Res.;34(5);1361–1380;N/A;6
Gupta Y, Gupta M, Kumar A and Sundaram C;1996;A genetic algorithm based approach to cell composition and layout design problems.;Int. J. Prod. Res.;34(2);447–482;N/A;6
Lee M K, Luong H S and Abhary K;1997;A genetic algorithm based cell design considering alternative routing.;Comput. Integ. Manuf. Syst.;10(2);93–108;N/A;6
Askin R, Selim H and Vakharia A;1997;A methodology for designing flexible cellular manufacturing systems.;IIE Trans.;29(7);599–610;N/A;6
Sofianopoulou S;1999;Manufacturing cells design with alternative process plans and/or replicate machines.;Int. J. Prod. Res.;37(3);707–720;N/A;6
Mungwattana A;2000;Design of cellular manufacturing system for dynamic and uncertain production requirement with presence of routing flexibility.;PhD thesis, Virginia Polytechnic Institute and State University, Blackburg, VA;N/A;N/A;N/A;6
Zhao C and Wu Z;2000;A genetic algorithm for manufacturing cell formation with multiple routes and multiple objectives.;Int. J. Prod. Res.;38(2);385–395;N/A;6
Chan W M, Chan C Y and Ip W H;2002;A heuristic algorithm for machine assignment in cellular layout.;Comput. Ind. Eng.;44;49–73;N/A;6
Chen M and Cao D;2004;Coordinating production planning in cellular manufacturing environment using tabu search.;Comput. Ind. Eng.;46;571–588;N/A;6
Tavakkoli-Moghaddam R, Aryanezhad M B, Safaei N and Azaron A;2005a;Solving a dynamic cell formation problem using meta-heuristics.;Appl. Math. Comput.;170;761–780;N/A;6
Tavakkoli-Moghaddam R, Safaei N and Babakhani M;2005b;Solving a dynamic cell formation problem with machine cost and alternative process plan by memetic algorithm.;Lecture notes in computer science, vol. 3777;N/A;213–227;N/A;6
Tavakkoli-Moghaddam R, Javadian N, Javadi B and Safaei N;2006;Design of facility layout problem in cellular manufacturing system with stochastic demands.;Appl. Math. Comput.;184;721–728;N/A;6
Nsakanda A L, Diaby M and Price W L;2006;Hybrid genetic approach for solving large scale capacitated cell formation problems with multiple routings.;Eur. J. Oper. Res.;171;1051–1070;N/A;6
Defersha F M and Chen M;2006a;A comprehensive mathematical model for the design of cellular manufacturing systems.;Int. J. Prod. Econ.;103;767–783;N/A;6
Ahkioon S, Bulgak A A and Bektas T;2007;Integrated cellular manufacturing system design with production planning and dynamic system reconfiguration.;Eur. J. Oper. Res.;192;414–428;N/A;6
Defersha F M and Chen M;2008;A parallel genetic algorithm for dynamic cell formation in cellular manufacturing systems.;Int. J. Prod. Res.;46(22);6389–6413;N/A;6
Defersha F M and Chen M;2006b;Machine cell formation using a mathematical model and a genetic algorithm based heuristic.;Int. J. Prod. Res.;44;2421–2444;N/A;6
Safaei N, Saidi-Mehrabad M and Jabal-Ameli M S;2008;A hybrid simulated annealing for solving an extended model of dynamic cellular manufacturing system.;Eur. J. Oper. Res.;185(2);563–592;N/A;6
Ahkioon S, Bulgak A A and Bektas T;2009;Cellular manufacturing system design with routing flexibility, machine procurement, production planning and dynamic system reconfiguration.;Int. J. Prod. Res.;47(6);1573–1600;N/A;6
Kioon S-A, Bulgak A-A, Bektas T;2009;Integrated cellular manufacturing system design with production planning and dynamic system reconfiguration.;Eur. J. Oper. Res.;192;414–428;N/A;6
Safaei N and Tavakkoli-Moghaddam R;2009;Integrated Multi-period cell formation and subcontracting production planning in dynamic cellular manufacturing systems.;Int. J. Prod. Econ.;120(2);301–314;N/A;6
Tunnukij T and Hicks C;2009;An enhanced grouping genetic algorithm for solving the cell formation problem.;Int. J. Prod. Res.;47(7);1989–2007;N/A;6
Ozcelik F and Sarac T;2011;A genetic algorithm extended modified sub-gradient algorithm for cell formation problem with alternative routings.;Int. J. Prod. Res.;N/A;N/A;10.1080/00207543.2011.588264;6
Solimanpur M and Foroughi V;2011;A new approach to the cell formation problem with alternative processing routes and operation sequence.;Int. J. Prod. Res.;49(19);5833–5849;N/A;6
Saidi-Mehrabad M, Mahdi Paydar M and Aalaei A;2013;Production planning and worker training in dynamic manufacturing systems.;J. Manuf. Syst.;32;308–314;N/A;6
Brown D, Huntley C and Spillane A;1989;A parallel genetic heuristic for the quadratic assignment problem.;Proceedings of 3rd international conference on genetic algorithm;N/A;406–415;N/A;6
Goldberg D E;1989;Genetic algorithms in search, optimization, and machine learning.;Reading, MA: Addision-wesley;N/A;N/A;N/A;6
Deep K and Singh P K;2013;Machine cell formation: Using genetic algorithm based heuristic considering alternative route.;Int. J. Oper. Res.;24(1);83–101;N/A;6
Wicks E;1995;Designing cellular manufacturing systems with time varying product mix and resource availability.;PhD thesis, Virginia Polytechnic Institute and State University, Blacksburg, VA;N/A;N/A;N/A;6
Wicks E M and Reasor R J;1999;Designing cellular manufacturing systems with dynamic part populations.;IIE Trans.;31;11–20;N/A;6
Jayakumar V and Raju R;2010;An adaptive cellular manufacturing system design with routing flexibility and dynamic system reconfiguration.;Eur. J. Sci. Res.;47(4);595–611;N/A;6
LINDO system Inc.;2005;"Extended Lingo; Trial version + User Guide.";Chicago: LINDO System Inc.;N/A;N/A;N/A;6
U. Wemmerlov, N.L. Hyer;1986;Procedures for the part family/machine group identification problem in cellular manufacture;J. Oper. Manag.;6;125–147;N/A;7
R. Kia, A. Baboli, N. Javadian, R. Tavakkoli-Moghaddam, M. Kazemi, J. Khorrami;2012;Solving a group layout design model of a dynamic cellular manufacturing system with alternative process routings, lot splitting and flexible reconfiguration by simulated annealing;Comput. Oper. Res.;39(11);2642–2658;N/A;7
M. Bagheri, M. Bashiri;2014;A new mathematical model towards the integration of cell formation with operator assignment and inter-cell layout problems in a dynamic environment;Appl. Math. Model.;38;1237–1254;N/A;7
C.H. Chu;1989;Cluster analysis in manufacturing cellular formation;OMEGA;17(3);289–295;N/A;7
C.H. Chu;1995;Recent advances in mathematical programming for cell formation;Manuf. Res. Technol.;24;3–46;N/A;7
N. Singh;1993;Design of cellular manufacturing systems: An invited review.;Eur. J. Oper. Res.;69(3);284–291;N/A;7
H.M. Selim, R.G. Askin, A.J. Vakharia;1998;Cell formation in group technology: Review, evaluation and directions for future research.;Comput. Ind. Eng.;34(1);3–20;N/A;7
G. Papaioannou, J. Wilson;2010;The evolution of cell formation problem methodologies based on recent studies (1997–2008): Review and directions for future research.;Eur. J. Oper. Res.;206(3);509–521;N/A;7
M.J. Rosenblatt;1986;The dynamics of plant layout;Manage. Sci.;32;76–86;N/A;7
T.Y. Wang, K.B. Wu, Y.W. Liu;2001;A simulated annealing algorithm for facility layout problems under variable demand in cellular manufacturing systems;Comput. Ind.;46(2);181–188;N/A;7
M. Solimanpur, P. Vrat, R. Shankar;2004;Ant colony optimization algorithm to the inter-cell layout problem in cellular manufacturing;Eur. J. Oper. Res.;157(3);592–606;N/A;7
R. Tavakkoli-Moghaddam, N. Javadian, B. Javadi, N. Safaei;2007;Design of a facility layout problem in cellular manufacturing systems with stochastic demands;Appl. Math. Comput.;184 (2);721–728;N/A;7
M.M. Paydar, I. Mahdavi, I. Sharafuddin, M. Solimanpur;2010;Applying simulated annealing for designing cellular manufacturing systems using MDmTSP;Comput. Ind. Eng.;59 (4);929–936;N/A;7
M.B. Aryanezhad, V. Deljoo, S.M.J. Mirzapour Al-e-hashem;2009;Dynamic cell formation and the worker assignment problem: A new model;Int. J Adv. Manuf. Technol.;41(3-4);329–342;N/A;7
M.M. Ghotboddini, M. Rabbani, H. Rahimian;2011;A comprehensive dynamic cell formation design: Benders’ decomposition approach;Expert Syst. Appl.;38(3);2478–2488;N/A;7
K. Das, R.S. Lashkari, S. Sengupta;2007;Reliability consideration in the design and analysis of cellular manufacturing systems;Int. J. Prod. Econ.;105(1);243–262;N/A;7
S.H. Chung, T.H. Wu, C.C. Chang;2011;An efficient tabu search algorithm to the cell formation problem with alternative routings and machine reliability considerations;Comput. Ind. Eng.;60(1);7–15;N/A;7
K. Rafiee, M. Rabbani, H. Rafiei, A. Rahimi-Vahed;2011;A new approach towards integrated cell formation and inventory lot sizing in an unreliable cellular manufacturing system;Appl. Math. Model.;35;1810–1819;N/A;7
F. Defersha, M. Chen;2008;A linear programming embedded genetic algorithm for an integrated cell formation and lot sizing considering product quality;Eur. J. Oper. Res.;187(1);46–69;N/A;7
V. Majazi Dalfard;2013;New mathematical model for problem of dynamic cell formation based on number and average length of intra and intercellular movements;Appl. Math. Model.;37(4);1884–1896;N/A;7
N. Safaei, M. Saidi-Mehrabad, M.S. Jabal-Ameli;2008;A hybrid simulated annealing for solving an extended model of dynamic cellular manufacturing system;Eur. J. Oper. Res.;185(2);563–592;N/A;7
I. Mahdavi, A. Aalaei, M.M. Paydar, M. Solimanpur;2010;Designing a mathematical model for dynamic cellular manufacturing systems considering production planning and worker assignment;Comput. Math. Appl.;60;1014–1025;N/A;7
B. Kim, S. Kim;2001;Extended model for a hybrid production planning approach;Int. J. Prod. Econ.;73(2);165–173;N/A;7
S. Ah kioon, A. Bulgak, T. Bektas;2009;Integrated cellular manufacturing systems design with production planning and dynamic system reconfiguration;Eur. J. Oper. Res.;192(2);414–428;N/A;7
N. Safaei, R. Tavakkoli-Moghaddam;2009;Integrated multi-period cell formation and subcontracting production planning in dynamic cellular manufacturing systems;Int. J. Prod. Econ.;120(2);301–314;N/A;7
N. Sahinidis;2004;Optimization under uncertainty: State-of-the-art and opportunities;Comput. Chem. Eng.;28;971–983;N/A;7
S.M.J. Mirzapour Al-e-hashem, H. Malekly, M.B. Aryanezhad;2011;A multi-objective robust optimization model for multi-product multi-site aggregate production planning in a supply chain under uncertainty;Int. J. Prod. Econ.;134;28–42;N/A;7
J. Balakrishnan, C.H. Cheng;2007;Multi-period planning and uncertainty issues in cellular manufacturing: A review and future directions;Eur. J. Oper. Res.;117;281–309;N/A;7
D. Szwarc, D. Rajamani, C.R. Bector;1997;Cell formation considering fuzzy demand and machine capacity;Int. J. Adv. Manuf. Technol.;13(2);134–147;N/A;7
M. Rabbani, F. Jolai, N. Manavizadeh, F. Radmehr, B. Javadi;2012;Solving a bi-objective cell formation problem with stochastic production quantities by a two-phase fuzzy linear programming approach;Int. J. Adv. Manuf. Technol.;58;709–722;N/A;7
N. Safaie, M. Saeidi-Mehrabad, R. Tavakkoli-Moghaddam, F. Sasani;2008;A fuzzy programming approach for a cell formation problem with dynamic and uncertain conditions;Fuzzy Sets Syst.;159(2);215-236;N/A;7
N. Safaie, R. Tavakkoli-Moghaddam;2009;An extended fuzzy parametric programming-based approach for designing cellular manufacturing systems under uncertainty and dynamic conditions;Int. J. Com.Intg. Manuf.;22(6);538–548;N/A;7
A. Azadeh, M. Sheikhalishahi, M. Koushan;2013;An integrated fuzzy DEA–Fuzzy simulation approach for optimization of operator allocation with learning effects in multi products CMS;Appl. Math. Model.;37;9922–9933;N/A;7
V.R. Ghezavati, M. Saidi-Mehrabad;2011;An efficient hybrid self-learning method for stochastic cellular manufacturing problem: A queuing-based analysis;Expert Syst. Appl.;38;1326–1335;N/A;7
V.R. Ghezavati, M. Saidi-Mehrabad;2010;Designing integrated cellular manufacturing systems with scheduling considering stochastic processing time;Int. J. Adv. Manuf. Technol.;48;701–717;N/A;7
